Assigned;Assigned[%];Time[min];Iter;IterYield[%];Speed[it/s];AddedPert;AddedPert[%];HardStudentConf;StudentConf;DistStudentConf;CommitStudentConf;TimePref;RoomPref;DistInstrPref;GrConstPref;UselessHalfHours;BrokenTimePat;TooBigRooms
0;0.000;0.000;0;NaN;NaN;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
1;0.667;0.000;1;100.000;63.289;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
2;1.333;0.001;2;100.000;63.887;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
3;2.000;0.001;3;100.000;78.687;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
4;2.667;0.001;4;100.000;90.475;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
5;3.333;0.001;5;100.000;97.693;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
6;4.000;0.001;6;100.000;106.547;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
7;4.667;0.001;7;100.000;90.369;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
8;5.333;0.001;8;100.000;95.434;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
9;6.000;0.001;9;100.000;103.578;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
10;6.667;0.003;10;100.000;63.919;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
11;7.333;0.003;11;100.000;69.009;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
12;8.000;0.003;12;100.000;74.313;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
13;8.667;0.003;13;100.000;79.464;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
14;9.333;0.003;14;100.000;84.096;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
15;10.000;0.003;15;100.000;89.237;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
16;10.667;0.003;16;100.000;93.930;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
17;11.333;0.003;17;100.000;97.532;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
18;12.000;0.003;18;100.000;101.543;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
19;12.667;0.003;19;100.000;106.159;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
20;13.333;0.003;20;100.000;109.982;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
21;14.000;0.003;21;100.000;114.491;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
22;14.667;0.003;22;100.000;118.782;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
23;15.333;0.003;23;100.000;122.676;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
24;16.000;0.003;24;100.000;126.696;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
25;16.667;0.003;25;100.000;129.875;0;0.000;0;0;0;0;0.000;0;0;0;0;6;0
26;17.333;0.003;26;100.000;133.293;0;0.000;0;0;0;0;0.000;0;0;0;0;6;0
27;18.000;0.003;27;100.000;137.606;0;0.000;0;0;0;0;0.000;0;0;0;0;6;0
28;18.667;0.003;28;100.000;141.603;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
29;19.333;0.003;29;100.000;145.481;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
30;20.000;0.003;30;100.000;148.972;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
31;20.667;0.003;31;100.000;152.100;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
32;21.333;0.003;32;100.000;155.296;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
33;22.000;0.003;33;100.000;158.784;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
34;22.667;0.003;34;100.000;162.757;0;0.000;0;0;0;0;0.000;0;0;0;0;0;1
35;23.333;0.004;35;100.000;166.662;0;0.000;0;0;0;0;0.000;0;0;0;0;3;1
36;24.000;0.004;36;100.000;169.978;0;0.000;0;0;0;0;0.000;0;0;0;0;3;1
37;24.667;0.004;37;100.000;173.675;0;0.000;0;0;0;0;0.000;0;0;0;0;3;1
38;25.333;0.004;38;100.000;176.644;0;0.000;0;0;0;0;0.000;0;0;0;0;5;1
39;26.000;0.004;39;100.000;180.103;0;0.000;0;0;0;0;0.000;0;0;0;0;8;1
40;26.667;0.004;40;100.000;183.026;0;0.000;0;0;0;0;0.000;0;0;0;0;6;1
41;27.333;0.004;41;100.000;185.683;0;0.000;0;0;0;0;0.000;0;0;0;0;6;1
42;28.000;0.004;42;100.000;187.998;0;0.000;0;0;0;0;0.000;0;0;0;0;8;1
43;28.667;0.004;43;100.000;174.157;0;0.000;0;0;0;0;0.000;0;0;0;0;7;1
44;29.333;0.004;44;100.000;177.312;0;0.000;0;0;0;0;0.000;0;0;0;0;7;1
45;30.000;0.004;45;100.000;180.252;0;0.000;0;0;0;0;0.000;0;0;0;0;7;1
46;30.667;0.007;46;100.000;104.958;0;0.000;0;0;0;0;0.000;0;0;0;0;7;0
47;31.333;0.007;47;100.000;106.713;0;0.000;0;0;0;0;0.000;0;0;0;0;13;0
48;32.000;0.007;48;100.000;108.621;0;0.000;0;0;0;0;0.000;0;0;0;0;11;0
