Assigned;Assigned[%];Time[min];Iter;IterYield[%];Speed[it/s];AddedPert;AddedPert[%];HardStudentConf;StudentConf;DistStudentConf;CommitStudentConf;TimePref;RoomPref;DistInstrPref;GrConstPref;UselessHalfHours;BrokenTimePat;TooBigRooms
0;0.000;0.000;0;NaN;NaN;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
1;0.667;0.001;1;100.000;22.293;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
2;1.333;0.002;2;100.000;14.496;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
3;2.000;0.009;3;100.000;5.533;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
4;2.667;0.014;4;100.000;4.672;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
5;3.333;0.014;5;100.000;5.805;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
6;4.000;0.015;6;100.000;6.692;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
7;4.667;0.016;7;100.000;7.268;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
8;5.333;0.029;8;100.000;4.611;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
9;6.000;0.029;9;100.000;5.158;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
10;6.667;0.029;10;100.000;5.720;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
11;7.333;0.029;11;100.000;6.279;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
12;8.000;0.029;12;100.000;6.838;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
13;8.667;0.029;13;100.000;7.381;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
14;9.333;0.030;14;100.000;7.895;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
15;10.000;0.030;15;100.000;8.444;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
16;10.667;0.030;16;100.000;8.979;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
17;11.333;0.030;17;100.000;9.497;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
18;12.000;0.034;18;100.000;8.743;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
19;12.667;0.036;19;100.000;8.813;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
20;13.333;0.036;20;100.000;9.262;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
21;14.000;0.036;21;100.000;9.677;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
22;14.667;0.036;22;100.000;10.121;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
23;15.333;0.036;23;100.000;10.563;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
24;16.000;0.036;24;100.000;11.005;0;0.000;0;0;0;0;0.000;0;0;0;0;2;0
25;16.667;0.036;25;100.000;11.437;0;0.000;0;0;0;0;0.000;0;0;0;0;6;0
26;17.333;0.037;26;100.000;11.866;0;0.000;0;0;0;0;0.000;0;0;0;0;8;0
27;18.000;0.037;27;100.000;12.311;0;0.000;0;0;0;0;0.000;0;0;0;0;8;0
28;18.667;0.037;28;100.000;12.735;0;0.000;0;0;0;0;0.000;0;0;0;0;8;0
29;19.333;0.037;29;100.000;13.154;0;0.000;0;0;0;0;0.000;0;0;0;0;8;0
30;20.000;0.037;30;100.000;13.577;0;0.000;0;0;0;0;0.000;0;0;0;0;8;0
31;20.667;0.037;31;100.000;14.016;0;0.000;0;0;0;0;0.000;0;0;0;0;10;0
32;21.333;0.037;32;100.000;14.397;0;0.000;0;0;0;0;0.000;0;0;0;0;8;0
33;22.000;0.046;33;100.000;12.046;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
34;22.667;0.046;34;100.000;12.396;0;0.000;0;0;0;0;0.000;0;0;0;0;4;0
